,O15232,O60635,P07585,P08727,P08833,P14136,P16234,P52823,P55259,Q9P0M4,Q9Y653,Class Label
115,-2.8075,-0.3949,-1.9253,-1.4518,-2.0668,-0.8188,-1.968,-1.7967,0.9908,-1.8553,-1.8654,0
116,-1.4582,-0.802,-2.63,0.0353,1.0539,-1.5418,-1.9325,1.0365,-1.9931,0.5255,-2.1145,0
117,-0.5545,-0.0731,-0.8138,2.8818,2.8758,0.1983,-0.9265,3.4017,-1.0554,-0.7978,-0.8081,0
118,-1.4578,-0.2905,-1.6267,0.1981,-2.5039,-1.3529,-1.9851,-0.7445,-1.1114,-0.7296,-2.3782,0
119,-0.3304,-0.452,-2.3106,0.6119,0.7084,-2.0707,-1.643,0.7478,-0.5601,-2.9989,-0.3071,0
120,-1.0393,-0.631,-2.2741,0.4228,-4.8377,-1.357,-1.7091,-0.2564,-2.6035,-0.4172,-2.9649,0
121,-0.2159,0.5063,-1.1197,2.7187,0.9943,-0.696,-1.5566,1.3,0.2997,-1.2921,-1.3614,0
122,-0.0028,-0.6531,-1.4918,0.2497,0.1493,0.7344,-1.0912,0.17,-0.9222,-1.3394,-1.2085,0
123,-0.1489,-0.6037,-2.5238,-1.7611,-3.6931,-1.293,-1.8255,-1.0352,-1.0638,-1.658,-1.8712,0
124,-0.8083,-0.6718,-2.846,-0.597,-4.0849,-2.0069,-2.2332,-1.4025,-2.8065,-1.2323,-2.5156,0
125,-1.8783,-0.3344,-2.1265,0.1455,-2.869,-1.391,-1.7717,-1.1631,-2.7558,-2.0573,-2.8773,0
126,-1.6913,-0.4279,-2.4381,-1.0631,-3.1279,-1.5292,-1.728,-0.9513,-1.8022,-1.8112,-2.5561,0
127,-1.0715,-0.7475,-1.4608,0.0892,0.2444,0.8782,-0.6306,-1.3903,-1.1547,1.7847,0.6602,0
128,-1.0436,-0.5718,-1.5597,0.3064,-1.5256,-0.7694,-1.2779,-1.1692,0.253,-0.6618,-0.808,0
129,-1.3875,-0.6773,-1.8778,0.9303,-2.7641,-1.2764,-2.2777,-0.4291,-0.6705,-1.4687,-0.4982,0
130,-2.2685,-0.3009,-2.0153,-2.6781,-5.0606,-1.3452,-2.0507,-0.7564,-2.2929,-1.5801,-2.4524,0
131,-2.2704,-0.4223,-2.4304,-1.8127,-2.9568,-1.4335,-1.6418,-1.2611,-0.0561,-2.0675,-1.8188,0
132,-0.7404,1.3777,-1.7876,-1.9223,-0.1787,-1.0982,-1.2279,-0.9416,-0.1522,-0.8471,-2.1033,0
133,-2.4698,-0.638,-2.5337,-0.4366,-2.5132,-0.2939,-1.8184,-0.7125,-1.0321,-0.5944,-2.7871,0
134,0.0804,-0.5973,-0.5874,1.0863,-1.1896,-0.5056,-0.947,-0.1712,2.7287,-0.0148,-1.5997,0
135,-1.4967,-0.6634,-2.5751,-0.9239,-4.5541,-1.4407,-1.5178,-1.5003,-1.679,-1.8398,-1.9098,0
136,-0.0137,-0.7351,-0.3091,-1.1008,2.2402,-1.0969,-0.7692,0.3492,-0.7866,-0.2111,-1.9713,0
137,-0.6576,-0.3111,-1.7715,1.3872,1.9162,-0.8962,-1.5772,-0.6509,-0.6957,-2.3952,-1.5628,0
138,-1.2136,1.5248,-2.3147,1.4102,-2.0555,-0.8531,-1.6388,-0.4239,-1.1048,-0.5944,-1.9828,0
