,P07585,P08833,P14136,P16234,P52823,P55259,Q9P0M4,Q9Y653,Class Label
84,-1.9922,0.4074,-0.027,-0.8782,0.1668,-1.193,0.1633,-1.5833,0
85,-2.1515,-1.8421,-0.8246,-1.8027,-0.6976,-1.1612,-1.7744,-1.8386,0
86,-2.52,-2.1369,-1.7785,-1.7687,-0.3422,-2.6236,-1.9024,-2.3192,0
87,-1.0087,-1.5194,-0.2792,-1.1603,1.0257,-1.5479,0.7143,1.5214,0
88,-0.1649,1.2334,0.574,0.3529,0.1461,0.8129,-0.6177,0.1883,0
89,-1.7197,-2.3467,-0.1049,-1.2672,0.3137,-0.9652,-1.0246,-0.6337,0
90,-1.4224,-1.72,-0.9097,-1.5261,0.3645,0.2274,-1.9363,-2.5561,0
91,-1.8327,-4.5166,-1.2689,-1.3937,-1.036,-1.4651,-0.0127,-1.9369,0
92,-1.8003,-1.1406,-0.2169,-1.0862,0.4893,-1.6979,-1.4633,-3.2921,0
93,-2.1074,-2.6211,-2.0712,-1.5102,0.1502,-1.0726,-0.9805,-0.5657,0
94,-1.5818,-0.3576,0.6278,-1.5825,-0.5179,-0.3596,0.4292,-0.7076,0
95,-0.9892,-5.2188,-1.1401,-1.6142,-0.5851,-0.9488,-0.4389,-1.2862,0
96,-1.6149,-1.5295,-0.6186,-1.8883,-0.6124,-1.1895,-0.5904,-1.8982,0
97,-1.7112,1.1031,0.2371,-1.6817,0.7495,0.0557,0.6014,-1.6619,0
98,-1.8736,-1.3299,-1.3902,-1.3927,-0.4422,-2.3166,-1.4588,-2.0069,0
99,-1.3739,1.4413,-0.5134,-1.3024,-1.4589,-1.3916,-0.512,-1.7349,0
100,-2.6817,-1.9633,-1.142,-2.1198,-0.3609,-2.2701,-2.1554,-2.2859,0
101,-2.2348,-1.0756,-0.9724,-1.6415,0.5546,-1.3697,-2.3054,0.3621,0
102,0.4861,-0.2303,0.0474,-0.6552,0.1653,1.7113,0.8313,-1.3527,0
103,-1.8613,-2.814,-1.193,-2.2218,-0.7821,-0.3853,-2.2072,-1.9461,0
104,-2.1993,-1.4177,-1.2052,-1.5694,-0.9329,-2.4762,0.7769,-0.8245,0
105,-0.0552,2.0013,-0.8051,-0.7316,2.1297,3.1662,-0.2815,1.4189,0
106,-1.7509,1.9083,-0.2829,-0.7873,-1.0505,-2.2311,-0.5876,-1.4822,0
107,-2.1304,-1.6704,-1.9735,-1.2227,-0.2217,-0.2163,-1.7325,0.0998,0
108,-1.6582,-3.8141,-1.3388,-1.9096,0.6958,-2.1744,-1.0932,-1.7773,0
109,0.3221,0.9418,0.3344,0.0375,0.6811,0.7363,-0.5652,-1.1602,0
110,-0.6004,2.4703,-0.8892,0.0185,2.0014,0.1505,0.7413,1.5435,0
111,-0.8618,2.4494,0.1782,-1.4823,1.4576,-1.3252,0.7208,-1.082,0
112,-2.9414,3.1664,-0.9811,-1.6583,-1.804,-1.8266,-1.0618,-1.9367,0
113,-2.8723,-2.7802,-1.3178,-2.3055,-1.7127,-1.9069,-2.4447,-2.9843,0
114,-1.837,-0.7348,-0.2221,-1.4412,0.6774,1.1963,-1.7065,-1.2682,0
115,-1.9253,-2.0668,-0.8188,-1.968,-1.7967,0.9908,-1.8553,-1.8654,0
116,-2.63,1.0539,-1.5418,-1.9325,1.0365,-1.9931,0.5255,-2.1145,0
117,-0.8138,2.8758,0.1983,-0.9265,3.4017,-1.0554,-0.7978,-0.8081,0
118,-1.6267,-2.5039,-1.3529,-1.9851,-0.7445,-1.1114,-0.7296,-2.3782,0
119,-2.3106,0.7084,-2.0707,-1.643,0.7478,-0.5601,-2.9989,-0.3071,0
120,-2.2741,-4.8377,-1.357,-1.7091,-0.2564,-2.6035,-0.4172,-2.9649,0
121,-1.1197,0.9943,-0.696,-1.5566,1.3,0.2997,-1.2921,-1.3614,0
122,-1.4918,0.1493,0.7344,-1.0912,0.17,-0.9222,-1.3394,-1.2085,0
123,-2.5238,-3.6931,-1.293,-1.8255,-1.0352,-1.0638,-1.658,-1.8712,0
124,-2.846,-4.0849,-2.0069,-2.2332,-1.4025,-2.8065,-1.2323,-2.5156,0
125,-2.1265,-2.869,-1.391,-1.7717,-1.1631,-2.7558,-2.0573,-2.8773,0
