,O14793,O60635,P07585,P08727,P14136,P18627,P24387,P52823,P55259,Q92820,Q969V3,Q96NZ8,Q99748,Q9NZV1,Q9P0M4,Q9UGM5,Q9Y653,Class Label
59,-3.0626,1.8752,-1.4352,2.156,0.1802,1.1504,-1.9749,-0.9835,1.675,-1.7584,-0.0049,-2.3464,0.1724,0.609,-1.3007,-3.2209,0.8109,0
60,-1.9359,-0.2113,-1.4506,5.5691,-0.1005,-0.9113,-1.3799,2.7774,1.1285,-1.5857,-0.1332,-2.3031,1.2227,-0.9888,2.9217,-2.4882,-1.7414,0
61,-2.2621,-0.4791,0.3713,0.3347,-0.3137,-0.2298,-3.0192,3.9282,2.351,-2.7486,-0.3301,-2.8977,0.6227,0.2706,0.7957,-3.395,1.3266,0
62,-1.8502,-0.6029,-2.5472,-1.6798,-1.7203,-0.2018,-2.3923,-1.1544,-2.6218,-1.1117,-0.0466,-1.4299,0.5018,-1.4411,-2.1539,-1.7271,-2.8154,0
63,-3.1365,-0.4076,-1.6951,-2.0351,-1.3854,-0.2875,-2.6789,-0.4205,-2.2016,-1.9799,-0.952,-2.0477,0.0891,-1.4985,-1.2131,-1.998,-2.605,0
64,-2.4591,-0.5948,-0.6268,-0.2586,0.0781,-0.1434,-1.4706,-0.7384,-0.4059,-1.9738,-0.1823,-1.9899,-0.256,-0.2368,0.3532,-2.2415,-1.104,0
65,-2.2597,-0.4875,-2.0779,0.2836,-1.0524,0.0728,-1.5235,-0.1573,-0.7528,-0.3057,-0.2893,-2.3075,0.4278,-1.1002,-1.3861,-2.2709,-1.5809,0
66,-2.5793,0.0234,-1.4941,1.79,-0.5254,0.8097,-2.5387,0.0823,0.3622,-0.7987,-0.3497,-2.4223,-0.4026,-0.7568,0.4902,-1.8447,0.3121,0
67,-2.778,-0.6028,-0.6235,-0.5533,-0.4961,0.5084,-1.6303,-0.5943,-1.0927,-1.4204,-0.2287,-0.1632,-0.5518,-0.7662,-0.2266,-1.7786,0.7486,0
68,-2.5777,-0.786,-1.1919,2.473,-0.6388,0.4979,-2.3199,-0.9776,-1.1528,-1.4153,-0.4342,-2.4659,0.2235,-1.078,-1.2975,-1.9025,-1.6696,0
