,A1E959,O00626,O14793,O43895,O60635,O95750,O95994,P01579,P01591,P03950,P05783,P07711,P10721,P14136,P14210,P15090,P15336,P17516,P18627,P19801,P21246,P24387,P28827,P30838,P31994,P35225,P35475,P42785,P43629,P51531,P52823,P55259,P58499,P60484,P78423,Q0Z7S8,Q13459,Q29980_Q29983,Q3KPI0,Q4LE39,Q6ISS4,Q7L8A9,Q7Z6M3,Q7Z7D3,Q8IU54,Q8TD06,Q8TD46,Q8WTT0,Q92820,Q92854,Q969V3,Q96DU3,Q96JP9,Q96NZ8,Q99748,Q9BXJ7,Q9NRA1,Q9NX58,Q9P0M4,Q9P232,Q9UGM5,Q9UHF4,Q9UK85,Q9Y286,Q9Y5W5,Q9Y639,Q9Y653
20,-0.6569,-1.6133,-2.1562,-1.6209,-0.5123,-2.0829,4.1991,1.7212,-1.2042,-2.4282,0.2852,0.0082,-2.4815,-1.5578,0.2451,-2.3702,-0.2044,-0.2584,0.9474,-1.281,-0.174,-2.3334,-1.6217,-0.1938,-1.2669,-0.5636,-2.2009,-1.8034,-2.5851,-0.141,0.0619,-1.8753,-2.5256,0.2991,-1.8233,-1.4628,-0.4217,-4.3378,-1.9577,0.6342,-0.7714,0.1687,-0.032,0.1406,1.9499,-1.4973,-1.7805,-1.6489,-1.1989,-1.7905,-0.7876,0.0773,-2.056,-2.5477,0.4812,-1.0043,-1.6756,0.6612,-0.8581,-1.986,-2.2945,0.0965,-1.0984,-1.0395,-1.0455,-1.2894,-1.3806
21,-0.4554,-0.8349,-2.7431,-1.8193,-0.7125,-3.2189,1.1062,2.5743,-3.1099,-2.0636,-0.5163,-0.5429,-2.7327,-1.1081,-0.5122,-0.3957,-0.5718,-0.432,0.659,-1.6808,-0.7618,-2.0414,-2.4273,-1.0985,-1.4404,-0.8902,-1.9656,-1.7085,-2.2307,-0.3865,0.1803,-2.3148,-2.6059,0.1735,-2.3196,-1.862,-0.2454,-1.2817,-0.7391,-0.1668,-2.5221,-0.0176,-0.3153,0.0433,2.5028,-0.8274,-2.2331,-1.7233,-0.4888,-1.9052,-1.1222,-0.1444,-2.0907,-2.0905,0.9086,-0.5306,-1.2387,0.7117,-1.4254,-2.408,-2.2309,-0.4618,-1.7108,-1.2934,-2.4093,-0.0084,-1.4878
22,-0.6527,-1.0608,-3.2648,-5.5262,-0.3379,-1.567,-0.2014,0.3773,-2.1364,-2.3857,-3.0835,-1.168,-3.1503,-1.0901,-0.5878,-0.3256,-0.0915,-0.0357,-1.3058,-1.204,-0.7381,-2.0465,-2.7112,-0.7094,-1.5367,-0.5164,-2.8222,-2.2278,-0.824,0.0231,-1.6136,-2.3094,-1.8244,0.1452,-1.9565,-1.9084,-0.0552,-2.0326,-2.1294,0.4878,-0.6715,-0.0099,-1.745,0.0354,-0.2952,-0.8256,-2.2176,-2.299,-0.4411,-2.3034,-0.6509,-0.3155,-1.4293,-2.4888,-0.0382,-0.6657,-1.025,0.7348,-0.2189,-2.9327,-3.1239,-0.4166,-1.9057,-1.7399,-2.191,-0.2694,-2.624
23,0.0459,-0.5597,-2.4291,-1.4949,-0.4488,-0.9411,0.1148,1.63,-0.8645,-1.5283,-0.9676,-0.4718,-2.3294,0.6488,-0.4593,0.0669,-0.4589,-0.2114,1.1594,-1.708,0.3204,-1.9107,-1.8984,-0.1362,-1.0085,-0.5332,-1.1586,-1.5214,-1.427,-0.1085,0.6345,-1.4042,-2.5074,-0.0621,-0.4544,-1.2749,-0.1507,-4.0641,0.6153,0.2687,-2.6147,0.3237,-0.4904,-0.2485,3.4749,-0.2541,-1.4993,-0.748,-0.1446,-1.2306,-0.4412,0.0622,-1.7212,-2.5013,0.4309,-0.9625,-1.4186,0.6966,0.0949,-2.3639,-1.8209,-0.6098,-0.4505,-0.8324,-0.2203,-0.8631,0.92
24,-1.0897,-0.7592,-2.1312,-2.4455,-0.5921,-1.7657,-0.5791,1.5255,-1.3666,-1.9139,-3.1148,-2.0184,-2.0701,-1.3862,-2.0159,-3.1325,-0.9248,-0.7849,-0.1645,-1.7005,-1.2446,-2.6473,-2.0456,-0.3214,-1.6711,-0.6872,-2.1619,-2.2039,-2.8531,0.1805,-1.5525,-1.6687,-0.957,0.2151,-1.1581,-0.8736,0.1762,-1.5126,-2.5934,-0.1325,-1.963,0.4336,-1.9227,0.1655,1.104,-0.9617,-1.8004,-0.7364,-2.0772,-1.8888,-0.3666,-1.6848,-1.6825,-2.3633,-0.6138,-0.6865,-0.9274,0.2792,-1.7853,-2.3454,-2.3518,-1.1474,-0.8185,-1.7523,-1.466,3.123,-2.2089
25,-0.1874,-1.1472,-2.8342,-2.6372,-0.4203,-2.9954,-0.8534,3.6851,-1.8728,-1.7414,-1.1698,-1.1963,-2.229,0.6477,-1.2727,-1.2039,-0.0454,-0.0432,-0.3905,-1.8302,0.0958,-2.6111,-2.0269,-0.1524,-2.5067,-0.4641,-2.7678,-1.9371,-2.1137,0.6257,-0.7555,-1.3765,-2.9916,0.2797,-0.8953,-1.0921,1.2008,-2.04,-2.8294,0.32,-2.1641,0.0999,-1.4632,0.4736,1.6764,-1.216,-1.3007,-1.937,-0.7889,-2.1218,-0.2291,-0.8305,-1.7522,-1.9036,0.258,-0.3013,-1.1673,0.6774,-0.8594,-2.2649,-1.6232,-0.4,-1.7008,-1.7618,-1.3111,-1.4452,-0.3697
26,-0.3976,-0.5238,-1.4614,-3.4244,-0.4407,-2.5102,0.1337,3.9864,-1.631,-1.5872,-1.6358,-0.8623,-2.6015,-1.3534,0.1591,-1.6157,0.6286,-0.0472,0.0791,-2.2052,-0.4357,-2.0036,-1.3578,-0.7151,-1.4434,-0.5856,-2.1838,-0.5219,-2.9987,-0.0166,-0.647,-1.5292,-3.5464,-0.0188,-1.9728,-1.5987,-0.1806,0.2192,-0.3446,-0.0751,-0.6354,0.1215,-1.4294,0.0644,1.7039,-0.1994,-1.4813,-0.8351,-0.0327,-1.3772,-0.8271,-0.6933,-1.9864,-1.279,0.2025,-0.1856,-1.2523,0.619,-1.771,-1.0819,-1.8909,-1.5161,-1.9811,-0.9537,-1.109,-1.3365,-1.9856
27,-0.0681,-1.6535,-2.7595,-1.7731,-0.5005,-0.5079,0.9931,-1.1569,-1.598,-2.0137,-3.3343,-2.0161,-1.9218,-0.9432,-1.9354,-2.3485,-0.9057,-0.1394,-1.7387,-1.5931,-1.7363,-3.0238,-2.4908,-0.7879,-0.909,-0.5139,-3.2822,-2.6658,-2.0396,-1.2795,-2.0554,-1.1191,-2.0465,-0.0847,-1.862,-1.9611,-0.8079,-1.8749,-1.6627,-0.2024,-2.5442,0.3135,-1.8719,0.1265,-0.972,-1.0652,-2.2121,-2.1012,-2.3958,-2.6147,-0.524,-0.6499,-1.7809,-2.2049,0.2938,-0.3718,-1.3411,0.808,-2.1403,-1.7522,-2.2597,-0.509,-2.9414,-2.3569,-2.3613,-1.3448,-2.6657
28,-0.8875,-1.4619,-3.2955,-3.5378,-0.4692,-0.211,-1.0374,-1.4497,-0.8618,-0.8832,-0.6032,-0.2027,-3.5338,-0.6794,-0.223,0.3411,-0.4807,0.2538,-0.5356,-2.7155,-1.7479,-1.9422,-1.5889,0.3759,-0.4677,-0.5936,-2.4209,-1.6337,-2.5182,-0.8569,-0.3761,2.0859,-0.626,0.4828,-1.1818,-2.3561,0.6652,0.0535,1.737,0.4601,-1.0055,0.4223,-1.1437,0.4516,-0.5295,-0.5303,-2.3777,-1.4773,-1.7093,-1.433,-0.2311,0.3414,-2.2617,-2.5587,-0.4076,-0.6146,-1.101,0.4995,-0.4286,-2.0553,-2.7923,-0.865,-2.3294,-1.1696,-2.2536,-1.1051,0.724
29,-0.4912,-0.7663,-2.2498,-0.767,-0.5418,-1.7188,2.728,3.7808,-1.0557,-1.7422,-0.6341,-0.513,-2.8609,-1.2513,-1.1983,-0.6676,-0.9884,0.1847,0.3183,-2.0135,-0.7705,-2.2699,-2.2099,0.1709,-1.703,-0.4917,-0.8152,-1.6269,-3.3922,-0.4178,-0.1605,-2.0896,-2.3294,-0.1844,-0.9904,-0.6508,-0.0121,-2.1853,-1.2113,0.153,-2.679,0.31,-1.3078,-0.1286,2.7934,0.9615,-1.6072,-1.1644,-0.3885,-1.0851,-0.3076,-0.2345,-1.6457,-1.8124,-0.0981,-1.6986,-1.1981,0.1445,-1.2526,-1.4745,-0.6083,-1.8084,-0.9575,-1.0719,-2.231,-1.1549,-1.4142
