,A1E959,O60635,O95750,O95994,P00750,P01591,P08833,P14136,P14780,P19429,P19801,P21246,P43629,P52823,P55259,P60568,Q29980_Q29983,Q5JZY3,Q8IU54,Q96JP9,Q9P0M4,Q9Y265,Q9Y653
51,-0.6622,-0.5603,-2.0575,-0.9776,-1.044,-0.8739,-1.1469,0.3076,-0.1928,-2.9966,-1.4769,-0.6819,-1.0861,-0.7021,0.9874,-0.0293,-1.4109,-2.0827,0.1939,-1.6516,-2.2708,0.8655,-2.0301
52,-0.9617,-0.8687,-2.3868,-1.9257,-3.3829,-1.1776,-0.5721,-1.2921,-0.4323,-4.0167,-1.4007,-1.2345,-1.6482,-1.816,-1.1827,0.1655,-2.7957,-1.8668,-0.6844,-1.9782,-1.6901,-1.1761,-2.5655
53,-0.6879,-0.4333,-1.4293,-0.4963,-1.9091,-0.8769,-2.8834,-1.2179,-0.5887,-2.4258,-2.408,-1.8732,-1.3559,-0.4169,-1.9592,0.5221,-1.9412,-2.1246,1.12,-1.6996,-0.6921,-1.7163,-1.9468
54,-0.8008,-0.6557,-3.9181,2.001,0.9179,-0.9916,0.237,-1.362,0.9108,-2.9232,-1.7572,2.5014,-1.1425,-0.0883,-1.6505,-0.2388,0.3784,-1.5833,3.742,-1.49,-1.114,0.5709,-0.226
55,-0.7613,-0.564,-3.7937,3.5762,-0.9468,-1.4557,-0.3768,-2.7838,0.1438,-1.6874,-2.1315,-1.3482,-3.4199,0.3499,-1.927,0.46,-1.3287,-1.9088,1.8805,-2.0316,-2.0408,-1.6045,-2.0838
56,-0.9456,-0.1772,-1.3854,-0.5776,-1.4655,-1.3113,0.0675,-0.4179,-0.1421,-2.7002,-2.0067,-0.3395,-2.0691,-0.7558,-1.5545,-0.0166,-0.7038,-2.099,3.0855,-1.6621,-1.7687,-1.6212,-0.858
57,-0.901,0.4,-1.6769,0.6306,0.4682,-1.3019,1.675,0.0387,0.262,-2.5782,-1.6828,0.363,-1.4686,0.0552,0.7749,-0.2177,0.844,-1.9561,-0.7934,-1.9152,-0.9122,2.9144,2.2999
58,-0.719,-0.2928,-1.6272,1.9179,-1.0387,-1.8704,-3.3921,-1.8472,0.0566,-1.5645,-2.2043,-0.7348,-1.2478,0.2167,-1.6006,0.3437,-1.1413,-1.9815,2.8428,-1.4994,-1.6394,-0.068,-2.4561
59,-1.1717,1.8752,0.0565,-0.7533,0.0919,-0.6109,1.0439,0.1802,0.049,-2.9974,-2.115,-0.1989,-2.5608,-0.9835,1.675,0.2835,-0.9069,-2.1939,1.157,-1.4418,-1.3007,-0.752,0.8109
60,-0.2762,-0.2113,-1.2287,6.985,0.1088,-1.2775,2.7252,-0.1005,1.61,1.0424,-1.3973,-0.5989,-0.1157,2.7774,1.1285,0.1444,-1.7802,-1.2888,-0.6856,-1.6507,2.9217,-0.4891,-1.7414
61,0.1302,-0.4791,-0.7224,-0.9476,1.6075,-0.1394,3.2163,-0.3137,0.9894,3.5251,-1.333,3.4607,-2.5667,3.9282,2.351,0.2808,-0.2148,-1.7329,-1.7924,-1.9922,0.7957,0.1389,1.3266
62,-0.2878,-0.6029,-1.7934,-1.2681,-1.7686,-0.7141,-4.3444,-1.7203,-1.3809,-3.0012,-1.6095,-1.7979,-2.3338,-1.1544,-2.6218,0.5546,-0.9632,-1.7917,0.8943,-1.1813,-2.1539,-1.1406,-2.8154
63,-0.6045,-0.4076,-2.3567,-1.9918,-2.3917,-3.3463,0.8977,-1.3854,-0.59,-3.2176,-1.6548,-1.1925,-2.4102,-0.4205,-2.2016,-0.2019,-1.9931,-2.0637,0.5074,-1.5452,-1.2131,-1.0442,-2.605
64,-1.1882,-0.5948,-1.1224,-1.1854,-1.6209,0.2506,1.8729,0.0781,-0.4278,-3.0562,-0.7361,0.2716,-1.3078,-0.7384,-0.4059,0.5242,-3.3357,-2.381,0.0156,-1.4758,0.3532,0.3602,-1.104
65,0.0549,-0.4875,-2.1541,-0.0895,-1.6668,-1.3133,-3.388,-1.0524,0.0919,-2.811,-2.0923,-1.1257,-0.6816,-0.1573,-0.7528,0.6682,-5.6083,-2.3032,2.6069,-1.6501,-1.3861,4.8831,-1.5809
66,-0.2599,0.0234,-1.677,0.527,-0.4066,-0.8815,0.1494,-0.5254,-0.7838,-2.9058,-1.9716,-0.8336,-1.2385,0.0823,0.3622,-0.1266,-4.8505,-1.4921,1.8909,-1.0157,0.4902,-0.4979,0.3121
67,-0.3588,-0.6028,-1.5472,0.5457,-0.9246,-2.2437,-2.1855,-0.4961,-0.0651,-2.7993,-2.1121,0.4171,-2.9874,-0.5943,-1.0927,-0.2451,-1.5949,-2.2176,1.3565,-1.6624,-0.2266,-1.4678,0.7486
68,-0.4552,-0.786,-1.5973,1.8657,-1.3132,-1.8603,-2.6334,-0.6388,-0.8838,-3.2474,-2.3618,-0.8298,-0.47,-0.9776,-1.1528,0.4261,-3.0127,-2.1804,2.6968,-2.0073,-1.2975,-1.1745,-1.6696
69,-0.5251,-0.6401,-2.2161,0.7937,-2.0269,-1.2347,-2.8681,-1.0101,-1.1261,-3.6926,-2.3783,-1.4742,-1.1097,-1.1599,-1.157,0.245,-1.4822,-2.419,1.0893,-2.0835,-1.8218,-1.0418,-2.6205
70,-0.6472,-0.8684,-1.2974,1.229,-1.1834,-1.7594,-0.3824,-0.3561,1.167,-2.042,-2.2239,-0.9788,-0.935,0.0122,-1.937,-0.0589,-1.7403,-2.4467,-0.469,-1.5316,-1.3702,-1.0813,-1.7694
71,-0.6208,-0.4407,-3.0266,-1.289,-1.5187,-1.8219,-1.1542,-1.2902,-0.3896,-4.345,-1.4965,-0.5065,-2.6051,-0.5076,-0.7198,0.6603,-2.4047,-2.1014,1.6375,-1.1652,-1.3028,-0.9541,-1.9175
