,A1E959,O00626,O14793,O43895,O60240,O60635,O95994,P01591,P05783,P07585,P08727,P10721,P14136,P14210,P18627,P19429,P24387,P29017,P35225,P42785,P43629,P51531,P52823,P55259,Q8IU54,Q8TD06,Q92820,Q969V3,Q96JP9,Q96NZ8,Q99748,Q9BXJ7,Q9NZV1,Q9P0M4,Q9UGM5,Q9UHF4,Q9Y3P8,Q9Y653
29,-0.4912,-0.7663,-2.2498,-0.767,-0.2582,-0.5418,2.728,-1.0557,-0.6341,-2.0886,1.3373,-2.8609,-1.2513,-1.1983,0.3183,-2.2861,-2.2699,-2.792,-0.4917,-1.6269,-3.3922,-0.4178,-0.1605,-2.0896,2.7934,0.9615,-0.3885,-0.3076,-1.6457,-1.8124,-0.0981,-1.6986,-1.4788,-1.2526,-0.6083,-1.8084,0.9466,-1.4142
30,-0.4334,-1.1763,-2.2788,-3.5868,-0.0242,-0.4103,0.4991,-0.7467,-1.8137,-2.2409,-0.9011,-1.8714,0.0029,-1.2883,0.4143,0.8171,-2.2088,-2.5955,2.1089,-2.2502,-0.5868,0.2518,-1.7484,-0.8248,1.699,0.0507,-1.3794,2.0945,-1.7547,-2.172,0.3225,-1.1938,-1.0045,-0.4277,-1.3575,-0.2177,1.14,-0.9516
31,-0.2367,-1.1313,-2.9031,-3.0232,-0.0109,-0.2177,1.6908,-0.9523,0.0437,-1.5405,2.3232,-2.7584,0.7021,0.432,-0.224,-0.8234,-1.5877,-3.0029,-0.5902,-2.1715,-1.1089,0.3873,-0.0687,-0.9085,1.4006,0.205,-2.2015,-0.3364,-1.6345,-1.5153,0.2481,-0.9709,-0.3497,-0.7159,-1.7117,-0.3928,-0.3518,-2.3992
32,-0.1688,-0.2296,-1.5839,-2.5907,-0.3376,-0.2899,1.2107,-1.3377,-1.7622,-2.3771,-1.4838,-2.4708,-1.1469,-1.4322,-0.5417,-2.85,-2.2582,-2.2581,-0.6665,-1.9651,-2.6568,0.8084,-1.0272,-1.6479,-1.2406,0.6524,-1.0616,-0.8465,-1.6225,-1.2797,-0.5223,-0.8219,-1.6049,0.4643,-1.9594,0.123,0.7176,-2.6264
33,-0.44,-0.5507,-3.0858,-2.5426,3.2836,-0.3272,3.7555,0.2788,1.7928,1.1527,3.2453,-2.9934,2.6116,1.8479,0.02,2.6864,-2.0138,-2.8993,0.5992,-1.4471,-0.6347,0.1171,2.3746,1.2906,0.4798,-0.6535,-1.1931,-0.3758,-1.1753,-3.4142,0.2291,0.6755,0.2518,3.5425,-3.5332,-0.3304,1.179,-0.1208
34,-0.422,-0.9201,-3.267,-2.517,-0.3014,-0.016,-0.764,-0.6226,-0.9131,-0.4917,-1.0321,-2.1468,-0.5953,0.8646,-0.3598,0.1301,-2.475,-2.4924,-0.8844,-2.8434,-3.3463,-0.037,0.2761,-0.9761,-0.5925,-0.8538,-1.7181,0.3831,-1.6973,-3.395,0.1153,-1.4723,-0.1781,-0.7792,-1.8723,-0.3632,0.7715,-0.1469
35,-0.9384,-1.1847,-1.2208,-5.1194,0.0541,-0.2673,2.6296,-1.162,0.117,-2.5431,2.4025,-2.7238,-1.05,-0.3676,-1.2861,-2.3621,-1.284,-2.1677,-1.098,-2.0309,-2.0083,0.6814,-0.1039,-1.4451,0.9989,-0.6161,-1.0931,-0.39,-1.2324,-2.0329,-0.1738,-0.7629,-1.0597,-1.1333,-1.8387,-0.3312,0.6188,-2.6336
36,-0.6252,-0.9522,-2.4495,-3.7965,-0.1242,-0.3387,1.7876,-0.6496,0.5836,-1.2278,2.3377,-2.7369,-0.1869,1.1881,0.4258,1.5798,-1.6478,-2.5403,-0.7027,-1.3841,-1.5252,0.0995,0.7707,-0.8346,2.2708,0.4212,-1.3387,-0.2306,-2.008,-2.6601,-0.0811,-0.5192,-0.5768,-1.4618,-2.6427,-0.9237,1.103,2.2021
37,-0.3561,-1.5914,-3.3146,-1.3388,-0.1728,-0.7439,-1.4856,-2.5564,-2.7755,-2.7471,-0.7759,-2.361,-0.2844,-1.5498,-0.7328,-2.1001,-2.2782,-2.9992,-0.7205,-2.2392,-1.8188,-0.1107,-1.5643,-1.0459,-0.0329,-0.623,-1.5105,-0.923,-1.2996,-2.3409,-1.0666,-1.4182,-1.5001,-2.3139,-1.9878,-0.7827,0.9688,-2.5304
38,0.1275,-1.3309,-1.6119,-5.5786,-0.0149,-0.8293,-1.3195,-0.936,-1.2878,-2.1643,-1.1688,-2.754,-1.0904,-0.8672,-1.1418,-3.4782,-1.6942,-2.3686,-0.7141,-2.2093,-2.1825,0.2897,-1.5174,-0.7601,0.8747,0.7048,-0.6179,0.0194,-1.6555,-2.6221,0.3987,0.0742,-1.3049,-1.0883,-0.6412,-0.8329,0.8233,-2.0457
