,O60635,P07585,P08727,P14136,P18627,P24387,P52823,P55259,Q969V3,Q9NZV1,Q9P0M4,Q9UGM5,Q9Y653,Class Label
80,-0.4459,-2.551,-0.2797,-1.936,-1.369,-3.1534,-1.6333,-2.1725,-0.6081,-1.933,-1.7386,-2.6103,-2.9716,0
81,-0.5083,-2.4863,-2.064,-1.0567,-0.8747,-2.4693,-0.6591,-1.7372,-0.6969,-1.1547,-1.6502,-2.2475,-2.3585,0
82,-0.4247,-1.4757,0.2633,-1.0576,0.3889,-1.7264,-1.6729,-1.4973,-0.3615,-1.2422,-0.4439,-0.9244,-2.1645,0
83,-0.3622,-1.9408,0.0009,-1.8891,0.6851,-2.8129,-1.0947,-1.1809,-0.4958,-1.4872,-2.0396,-1.5368,-1.0725,0
84,-0.6937,-1.9922,0.992,-0.027,0.649,-3.1157,0.1668,-1.193,-0.4113,-0.7041,0.1633,-2.1785,-1.5833,0
85,-0.6603,-2.1515,0.4517,-0.8246,-0.7279,-1.8261,-0.6976,-1.1612,-0.734,-1.1691,-1.7744,-1.8927,-1.8386,0
86,-0.3779,-2.52,0.7693,-1.7785,-0.6463,-1.5593,-0.3422,-2.6236,-0.395,-1.2651,-1.9024,-2.0913,-2.3192,0
87,-0.5437,-1.0087,1.089,-0.2792,0.7093,-1.9083,1.0257,-1.5479,-0.2377,-0.7028,0.7143,-1.8047,1.5214,0
88,-0.5898,-0.1649,0.6779,0.574,-0.1382,-2.6571,0.1461,0.8129,0.0352,-0.5993,-0.6177,-3.0027,0.1883,0
89,-0.3776,-1.7197,2.0998,-0.1049,-0.8499,-1.2694,0.3137,-0.9652,-0.2027,-0.9871,-1.0246,-2.247,-0.6337,0
90,-0.657,-1.4224,-0.1384,-0.9097,-1.1627,-2.0422,0.3645,0.2274,-0.5808,-1.3304,-1.9363,-1.7363,-2.5561,0
91,-0.2442,-1.8327,-1.0365,-1.2689,-0.471,-2.2714,-1.036,-1.4651,-0.4827,-1.0007,-0.0127,-1.0147,-1.9369,0
92,-0.5154,-1.8003,1.9552,-0.2169,-0.6334,-2.1555,0.4893,-1.6979,-0.1529,-0.804,-1.4633,-2.3418,-3.2921,0
93,-0.7773,-2.1074,1.5988,-2.0712,-0.003,-1.7209,0.1502,-1.0726,-0.0823,-1.0008,-0.9805,-2.5366,-0.5657,0
94,-0.3706,-1.5818,-0.5892,0.6278,0.4079,-2.448,-0.5179,-0.3596,-0.1828,-1.2132,0.4292,-1.6778,-0.7076,0
95,-0.287,-0.9892,-1.8291,-1.1401,0.1438,-2.0958,-0.5851,-0.9488,-0.4305,-1.1313,-0.4389,-1.399,-1.2862,0
96,0.1917,-1.6149,2.1125,-0.6186,0.2219,-2.3355,-0.6124,-1.1895,-0.5335,-0.7153,-0.5904,-1.814,-1.8982,0
97,-0.3884,-1.7112,-1.592,0.2371,0.3122,-2.3915,0.7495,0.0557,-0.4479,-1.0578,0.6014,-1.9861,-1.6619,0
98,-0.576,-1.8736,0.9495,-1.3902,-0.574,-2.7605,-0.4422,-2.3166,-0.4454,-0.9951,-1.4588,-1.6759,-2.0069,0
99,-0.346,-1.3739,-0.3744,-0.5134,-1.8992,-1.9852,-1.4589,-1.3916,-0.4635,-1.1463,-0.512,-1.6089,-1.7349,0
100,-0.6044,-2.6817,-1.3552,-1.142,-0.7542,-2.1028,-0.3609,-2.2701,-0.0719,-1.6142,-2.1554,-2.0983,-2.2859,0
