,A1E959,O60542,O60635,O95256,O95750,O95994,P00750,P01591,P05231,P08833,P09466,P14136,P14780,P15336,P16860,P19429,P19801,P21246,P43629,P51531,P55259,P60568,Q29980_Q29983,Q5JZY3,Q8IU54,Q8N2G4,Q92832,Q96JP9,Q9NRD8,Q9P0M4,Q9Y265,Q9Y653,Class Label
33,-0.44,-2.7096,-0.3272,-2.443,-2.3369,3.7555,0.2951,0.2788,3.1819,2.3017,-0.3074,2.6116,0.9392,-0.6179,-0.0066,2.6864,-1.9836,-0.1182,-0.6347,0.1171,1.2906,0.6915,0.6817,-1.4845,0.4798,-0.2801,-2.4987,-1.1753,-0.6792,3.5425,0.6131,-0.1208,0
34,-0.422,-2.0079,-0.016,-2.187,-2.0868,-0.764,-1.7601,-0.6226,3.1602,0.8256,2.9479,-0.5953,0.0288,-0.3584,4.6472,0.1301,-2.4065,-0.1267,-3.3463,-0.037,-0.9761,-0.1865,-0.6559,-2.1171,-0.5925,0.5915,-3.3301,-1.6973,-0.5623,-0.7792,-0.7548,-0.1469,0
35,-0.9384,-2.9623,-0.2673,-2.5447,-3.4906,2.6296,-1.0957,-1.162,3.3273,-4.2872,-0.5978,-1.05,-0.0644,0.2063,1.4709,-2.3621,-1.3012,-1.1344,-2.0083,0.6814,-1.4451,-0.1009,-1.8154,-1.8478,0.9989,-0.1127,-0.8775,-1.2324,-0.6231,-1.1333,-0.6613,-2.6336,0
36,-0.6252,-4.1801,-0.3387,-2.2717,-2.5626,1.7876,-0.5349,-0.6496,2.7324,1.4447,0.0091,-0.1869,0.8454,0.0454,1.0789,1.5798,-2.1211,0.5628,-1.5252,0.0995,-0.8346,-0.102,-4.2833,-1.8703,2.2708,-0.2439,-2.3933,-2.008,-0.3811,-1.4618,1.2414,2.2021,0
37,-0.3561,-3.2402,-0.7439,-2.9353,-1.6731,-1.4856,-2.1984,-2.5564,2.8866,-1.1537,-1.0493,-0.2844,-0.7237,-0.5281,-0.9642,-2.1001,-2.3834,-1.6669,-1.8188,-0.1107,-1.0459,-0.3978,-1.4433,-1.6509,-0.0329,-0.1614,-2.7169,-1.2996,-1.1857,-2.3139,-1.4953,-2.5304,0
38,0.1275,-2.7076,-0.8293,-0.5522,-1.7234,-1.3195,-1.0088,-0.936,2.9951,-2.5117,-0.5797,-1.0904,-1.0132,1.1953,-1.0443,-3.4782,-1.8524,-0.913,-2.1825,0.2897,-0.7601,-0.0459,-0.584,-1.7127,0.8747,0.8823,-2.0998,-1.6555,-0.7712,-1.0883,0.229,-2.0457,0
39,-0.6828,-0.3003,-0.08,-2.3932,-0.8978,-2.6441,-1.0369,0.2421,2.9143,-2.0039,0.2835,-0.6277,0.4449,-0.4653,1.3142,-3.2826,-0.9201,-0.0977,-0.9352,-0.5381,-1.0227,0.7855,-6.1376,-2.4117,0.2881,-0.0302,-2.1873,-1.7636,-0.9122,-0.5944,-0.7351,1.239,0
40,-0.1725,-1.8014,4.5702,-2.4589,-0.5902,3.3828,-0.1205,-0.4573,0.902,2.6312,0.3745,-0.007,-0.7649,-0.608,0.3927,-0.343,-1.6288,-0.4223,-2.0929,0.2378,1.8285,0.3465,-5.1267,-1.5835,2.8906,1.1459,-2.0487,-1.3463,1.3297,-0.7155,-1.7837,2.2478,0
41,-0.251,-2.6823,-0.3007,-2.767,-0.8188,1.3821,-1.1582,-1.0005,0.4589,0.1573,0.2944,0.1802,0.8251,-0.6645,0.873,-2.3252,-3.1677,0.8265,-1.3619,0.5452,-0.1938,0.4189,-1.686,-2.1032,3.7864,-0.4037,-2.6419,-1.9314,-0.906,-0.7795,1.0406,-1.1646,0
42,-0.735,-4.3924,-0.4644,-0.9081,-1.7579,-0.9797,-1.3323,-1.1869,0.5318,0.0564,-0.643,-0.3151,0.2687,-1.1277,0.2447,-3.3129,-1.9508,-0.5194,-2.1005,0.0452,-1.6665,0.3995,-1.3192,-2.5373,-0.3775,-0.7189,-2.944,-1.9304,-0.9981,-0.3355,-1.386,-2.3599,0
43,-0.6568,-0.7423,-0.5068,-2.2356,-2.0816,-1.1508,-1.0528,-2.2601,-1.17,1.3091,2.0756,-1.8937,1.0816,-0.7188,4.0627,-3.0148,-1.8716,-1.1044,-2.6569,0.2975,3.2841,0.124,-0.3659,-2.9041,-1.5207,-0.2535,-2.8228,-1.606,-0.4464,-0.5911,-0.4053,0.6887,0
44,-0.7707,-3.274,-0.3404,-2.5972,-2.4623,2.1957,-2.653,-0.8941,-0.7722,-2.2801,-0.0717,-1.4149,2.564,-0.3768,-1.2341,-2.672,-2.3369,-1.5983,-1.8655,-0.1341,0.9123,-0.1971,-0.3793,-2.0841,1.5945,-0.2155,-1.3468,-1.8182,-0.8208,-1.9261,1.923,-0.7227,0
45,-0.148,-4.7042,-0.3993,-2.2878,-2.0991,-0.6097,-1.016,-1.0541,-1.0532,-3.3232,-0.1339,-0.3656,-0.1926,-0.1615,-1.2316,-3.3833,-1.6879,-1.2628,-0.9482,0.6034,-0.9035,-0.3088,-2.1626,-1.9792,2.1587,-0.088,-1.0781,-1.7818,-0.618,-2.1152,0.588,-1.7442,0
46,-0.4695,-1.8277,-0.8547,-1.8428,-0.8923,0.7085,-1.0474,-0.7644,-1.4819,-1.7548,-1.3311,-1.6338,-1.1733,-0.2551,-1.8773,-2.8013,-2.1008,-1.1312,-1.9062,-0.1892,-1.6465,-0.8733,-0.4293,-2.5092,1.6822,-0.3352,-1.2187,-1.2934,-1.4962,-0.1163,-1.8119,-2.1267,0
47,-0.4719,-2.4674,-0.4684,-1.3939,-3.1318,-0.0611,-1.2442,-1.6199,-0.6228,-0.8914,0.2005,-1.3531,1.0115,-0.3531,0.1196,-2.1427,-2.0082,-0.264,-2.2292,-0.8417,-0.3812,0.1756,-5.8904,-2.2043,-0.6895,-0.4407,-1.0659,-1.386,-0.7272,-1.2834,-0.9174,-2.9592,0
48,-0.4535,-2.2063,-0.4078,-3.1268,-1.0692,-0.5845,-2.1474,-1.3576,-1.001,1.7303,-0.3255,0.1014,-0.0476,-1.128,-1.0585,-3.1365,-2.0517,-0.0768,-1.0729,-0.9999,-1.3327,0.4039,-1.624,-3.0399,0.2135,-0.2466,-2.6351,-1.7335,-0.7006,0.6121,0.1813,-1.479,0
49,-0.3122,-4.2978,-0.3992,-0.8103,-1.9455,1.0938,0.5246,-0.809,-0.5613,-0.0748,-1.2792,-0.476,0.1354,-0.4838,-0.8598,-3.5195,-2.0213,-0.7244,-1.4552,-0.1024,0.2046,0.4232,-1.8862,-2.1856,2.1712,-0.2777,-0.4613,-1.8261,-0.9647,-1.16,-0.4816,-1.4837,0
50,-0.2738,-2.1052,-0.3396,-2.0932,-2.0247,-1.7595,-1.5501,-1.9181,-0.7003,-0.3932,0.8286,-0.2996,0.4456,-0.4611,2.376,-1.9345,-1.5624,0.0009,-0.4594,0.2002,-0.9311,0.2653,-4.8704,-1.781,-0.0545,-0.0703,-2.3967,-2.2291,-0.9749,-1.0105,0.0716,-0.1552,0
51,-0.6622,-4.2562,-0.5603,-3.0011,-2.0575,-0.9776,-1.044,-0.8739,2.7979,-1.1469,-0.02,0.3076,-0.1928,-0.1048,0.1903,-2.9966,-1.4769,-0.6819,-1.0861,0.7805,0.9874,-0.0293,-1.4109,-2.0827,0.1939,-0.2354,-1.3372,-1.6516,-0.122,-2.2708,0.8655,-2.0301,0
52,-0.9617,-3.4631,-0.8687,-0.2228,-2.3868,-1.9257,-3.3829,-1.1776,3.1336,-0.5721,0.848,-1.2921,-0.4323,-0.2014,-0.5323,-4.0167,-1.4007,-1.2345,-1.6482,-0.3089,-1.1827,0.1655,-2.7957,-1.8668,-0.6844,-0.2843,-2.1126,-1.9782,1.459,-1.6901,-1.1761,-2.5655,0
53,-0.6879,-2.8758,-0.4333,-2.623,-1.4293,-0.4963,-1.9091,-0.8769,3.0846,-2.8834,-0.1989,-1.2179,-0.5887,-0.3956,-1.2542,-2.4258,-2.408,-1.8732,-1.3559,0.1303,-1.9592,0.5221,-1.9412,-2.1246,1.12,0.857,-1.4818,-1.6996,-0.4587,-0.6921,-1.7163,-1.9468,0
54,-0.8008,-3.7196,-0.6557,-2.2706,-3.9181,2.001,0.9179,-0.9916,1.2068,0.237,-0.2839,-1.362,0.9108,0.6848,-1.4084,-2.9232,-1.7572,2.5014,-1.1425,-0.3598,-1.6505,-0.2388,0.3784,-1.5833,3.742,-0.311,-1.4621,-1.49,-0.9229,-1.114,0.5709,-0.226,0
