,A1E959,O14788,O60542,O60635,O95256,O95379,O95750,O95994,P01583,P05231,P06850,P08833,P09466,P14136,P14780,P15336,P16860,P19429,P19801,P21246,P30838,P34998,P36222,P43629,P51531,P55259,P58546,P60568,P68106,Q04759,Q12968,Q13231,Q15067,Q16552,Q29980_Q29983,Q5JZY3,Q8IU54,Q8IW75,Q8N2G4,Q8TDL5,Q8WTU2,Q92832,Q96JP9,Q9NRD8,Q9P0M4,Q9Y265,Q9Y5K2,Q9Y653
20,-0.6569,-2.9481,-1.9347,-0.5123,-2.5068,0.007,-2.0829,4.1991,0.8295,-1.6873,-3.2756,0.8399,1.0596,-1.5578,-0.39,-0.2044,-0.5617,-3.3278,-1.281,-0.174,-0.1938,-0.2215,1.7749,-2.5851,-0.141,-1.8753,0.0468,0.2532,-0.1331,0.0395,-0.6821,-3.94,-0.2053,-0.4982,-4.3378,-1.8663,1.9499,-1.6946,4.0713,-0.9171,-5.4069,-2.3801,-2.056,-1.0279,-0.8581,-1.0757,-2.1397,-1.3806
21,-0.4554,-3.515,-5.3993,-0.7125,-3.1093,-0.6946,-3.2189,1.1062,0.1728,-1.6837,-2.825,-2.7426,-0.4898,-1.1081,-0.5215,-0.5718,-0.0282,-2.8816,-1.6808,-0.7618,-1.0985,-0.0293,0.1433,-2.2307,-0.3865,-2.3148,0.225,0.1436,-0.0366,-0.2718,-1.0946,-3.2566,0.0902,1.5924,-1.2817,-2.2537,2.5028,-1.7557,-0.0478,0.0308,-3.3439,-1.5086,-2.0907,-0.8135,-1.4254,-1.6399,-2.5324,-1.4878
22,-0.6527,-2.4945,-4.3588,-0.3379,-3.0508,0.1703,-1.567,-0.2014,-0.4173,2.5023,-2.0529,-1.9215,0.4402,-1.0901,1.1859,-0.0915,1.3098,-2.748,-1.204,-0.7381,-0.7094,-0.3644,0.144,-0.824,0.0231,-2.3094,0.3828,0.4399,0.0619,-0.2651,-0.7844,-1.3058,0.1205,0.0276,-2.0326,-2.216,-0.2952,-0.3012,0.0939,1.0968,-4.2939,-3.1253,-1.4293,0.44,-0.2189,1.0541,-0.0321,-2.624
23,0.0459,-2.7622,-3.1641,-0.4488,-3.0957,0.0053,-0.9411,0.1148,-0.2697,2.3446,-2.4901,2.2202,-0.0346,0.6488,-0.2405,-0.4589,-0.926,-2.6625,-1.708,0.3204,-0.1362,0.1116,-0.8867,-1.427,-0.1085,-1.4042,-0.0264,0.3267,-0.2987,-0.486,-0.777,-1.0365,-0.2106,-0.2068,-4.0641,-2.6831,3.4749,6.0108,0.1668,0.3312,-2.6879,-2.4211,-1.7212,-0.6322,0.0949,-0.9421,1.8315,0.92
24,-1.0897,-2.1611,-3.5521,-0.5921,-2.6396,-0.1081,-1.7657,-0.5791,0.3994,2.4936,-0.8496,-0.2504,5.5904,-1.3862,-0.7119,-0.9248,-0.9356,-3.429,-1.7005,-1.2446,-0.3214,-0.143,-0.6049,-2.8531,0.1805,-1.6687,0.3261,0.5171,0.1648,0.1963,-0.8411,-3.6946,0.3162,-0.5509,-1.5126,-2.2631,1.104,-0.9434,-0.4102,-1.3576,-5.3484,-1.9284,-1.6825,-0.6512,-1.7853,0.8925,-1.1887,-2.2089
25,-0.1874,-2.4458,-4.8648,-0.4203,-1.0513,0.4638,-2.9954,-0.8534,0.2997,2.4931,-1.1954,0.3436,0.1931,0.6477,-1.8763,-0.0454,0.8134,-2.3944,-1.8302,0.0958,-0.1524,0.2192,-1.5184,-2.1137,0.6257,-1.3765,0.3893,0.3483,-0.0544,0.007,-1.1496,-3.1951,-0.5635,-0.4992,-2.04,-2.4496,1.6764,-1.7202,0.1342,-0.1858,-4.2015,-0.694,-1.7522,-0.5092,-0.8594,0.2045,-0.6975,-0.3697
26,-0.3976,-2.536,-2.5147,-0.4407,0.4335,0.0554,-2.5102,0.1337,2.7747,2.4822,-0.4112,-3.5069,-1.0995,-1.3534,-0.1223,0.6286,-1.0862,-3.7616,-2.2052,-0.4357,-0.7151,-0.0836,-1.3129,-2.9987,-0.0166,-1.5292,0.2172,-0.2751,0.0532,0.2419,-1.3505,-2.3677,-0.1177,-0.759,0.2192,-2.4438,1.7039,-1.6167,0.0546,-1.6556,-0.7426,-1.6388,-1.9864,-0.4735,-1.771,1.7866,-1.7791,-1.9856
27,-0.0681,-2.7763,-4.2644,-0.5005,-1.1552,0.1821,-0.5079,0.9931,-0.4397,2.6183,-2.0553,-3.3602,-0.7452,-0.9432,-0.7502,-0.9057,-1.0111,-2.8639,-1.5931,-1.7363,-0.7879,0.0194,-2.1678,-2.0396,-1.2795,-1.1191,0.5076,-0.6163,-0.0648,2.3704,-1.2205,-2.0969,0.1072,-0.4177,-1.8749,-1.6736,-0.972,-0.5197,-0.2065,-0.9522,-4.9398,-2.3558,-1.7809,-0.3578,-2.1403,-0.2604,-1.2166,-2.6657
28,-0.8875,-3.7939,-3.4011,-0.4692,-2.7881,-0.2723,-0.211,-1.0374,-0.3068,3.4327,-3.2082,-1.5213,1.9219,-0.6794,2.169,-0.4807,2.3459,-3.4948,-2.7155,-1.7479,0.3759,-0.3732,1.0846,-2.5182,-0.8569,2.0859,0.3607,-0.8567,0.1461,0.1854,-0.886,-0.2318,0.1541,-0.0753,0.0535,-1.9692,-0.5295,-0.9723,-0.3795,-0.3076,-3.2424,-2.4852,-2.2617,-0.7226,-0.4286,1.2207,2.9576,0.724
29,-0.4912,-3.354,-5.0914,-0.5418,-2.698,-0.1933,-1.7188,2.728,-0.5262,3.8771,-2.9588,-0.7143,3.7525,-1.2513,-0.4074,-0.9884,-0.0934,-2.2861,-2.0135,-0.7705,0.1709,0.3771,0.2558,-3.3922,-0.4178,-2.0896,0.1304,0.1588,-0.1255,0.1826,-0.9086,-7.4207,-0.4667,-0.9632,-2.1853,-2.0248,2.7934,-1.8128,0.2303,-1.8946,-4.5494,-2.4057,-1.6457,-1.09,-1.2526,-1.1726,-1.0336,-1.4142
30,-0.4334,-1.8462,-2.1895,-0.4103,-2.6879,-0.4249,-1.0859,0.4991,0.1852,3.9017,-0.5274,-1.944,-0.2967,0.0029,0.1008,0.5465,-0.0357,0.8171,-2.1031,-1.5215,0.0261,-0.1738,-0.8642,-0.5868,0.2518,-0.8248,0.0606,-0.7398,0.3569,0.529,-1.5338,-3.1107,0.2974,-0.1641,-1.7593,-1.7528,1.699,-1.7491,-0.3251,-1.6609,-2.3785,-2.0769,-1.7547,-0.5632,-0.4277,-0.9036,-1.4321,-0.9516
31,-0.2367,-4.0045,-2.238,-0.2177,-2.3887,0.624,-2.9265,1.6908,-0.0329,3.8311,-2.0808,-0.9791,1.5395,0.7021,0.287,-0.175,-0.4797,-0.8234,-2.1039,-0.4888,-0.7737,0.344,0.004,-1.1089,0.3873,-0.9085,0.0979,0.2791,0.0005,0.0952,-1.2025,-1.2882,-0.0151,-0.289,-1.5536,-2.0175,1.4006,-1.6039,-0.2399,-0.9921,-4.911,-2.2268,-1.6345,-0.3456,-0.7159,1.0341,-0.0945,-2.3992
32,-0.1688,-2.3008,-2.4882,-0.2899,-2.5553,0.3206,-3.8293,1.2107,0.6691,2.9826,-1.657,-3.462,1.1498,-1.1469,-1.3667,1.4479,-0.3257,-2.85,-2.1442,-0.34,-0.454,-0.1411,-2.1151,-2.6568,0.8084,-1.6479,0.3386,0.3024,0.4078,0.1369,-1.015,-2.7409,0.4721,-0.5799,-3.8293,-1.5292,-1.2406,-1.1402,-0.3984,-2.366,-1.7181,-2.2331,-1.6225,-0.4287,0.4643,-0.9546,-1.825,-2.6264
33,-0.44,-3.2408,-2.7096,-0.3272,-2.443,-0.9154,-2.3369,3.7555,0.2338,3.1819,-3.9207,2.3017,-0.3074,2.6116,0.9392,-0.6179,-0.0066,2.6864,-1.9836,-0.1182,0.3074,0.0318,2.6344,-0.6347,0.1171,1.2906,0.718,0.6915,-0.3081,-0.457,-0.9758,-0.8016,-0.2045,0.9261,0.6817,-1.4845,0.4798,-1.9769,-0.2801,-0.2282,-4.8829,-2.4987,-1.1753,-0.6792,3.5425,0.6131,0.1833,-0.1208
34,-0.422,-3.343,-2.0079,-0.016,-2.187,0.3062,-2.0868,-0.764,0.0505,3.1602,-2.0829,0.8256,2.9479,-0.5953,0.0288,-0.3584,4.6472,0.1301,-2.4065,-0.1267,-0.9608,-0.2178,1.0871,-3.3463,-0.037,-0.9761,-0.1507,-0.1865,0.2946,0.2149,-0.5391,-0.8291,-0.242,-0.0456,-0.6559,-2.1171,-0.5925,-0.8366,0.5915,-2.9377,-4.4892,-3.3301,-1.6973,-0.5623,-0.7792,-0.7548,1.8885,-0.1469
35,-0.9384,-2.6514,-2.9623,-0.2673,-2.5447,0.241,-3.4906,2.6296,-0.052,3.3273,-1.3724,-4.2872,-0.5978,-1.05,-0.0644,0.2063,1.4709,-2.3621,-1.3012,-1.1344,-0.5368,0.3855,-1.3931,-2.0083,0.6814,-1.4451,0.4765,-0.1009,0.6105,0.4062,-1.7938,-2.5448,0.3728,-0.423,-1.8154,-1.8478,0.9989,-2.1351,-0.1127,-2.2581,-3.7505,-0.8775,-1.2324,-0.6231,-1.1333,-0.6613,-3.0673,-2.6336
36,-0.6252,-3.6002,-4.1801,-0.3387,-2.2717,-0.6938,-2.5626,1.7876,-0.2806,2.7324,-3.9276,1.4447,0.0091,-0.1869,0.8454,0.0454,1.0789,1.5798,-2.1211,0.5628,0.2036,-0.0339,3.4592,-1.5252,0.0995,-0.8346,0.4128,-0.102,0.5885,1.1884,-1.3669,-7.5141,0.2418,-0.6223,-4.2833,-1.8703,2.2708,-1.6167,-0.2439,-2.0191,-4.0647,-2.3933,-2.008,-0.3811,-1.4618,1.2414,1.1905,2.2021
37,-0.3561,-3.0499,-3.2402,-0.7439,-2.9353,-0.2047,-1.6731,-1.4856,1.9175,2.8866,-3.1077,-1.1537,-1.0493,-0.2844,-0.7237,-0.5281,-0.9642,-2.1001,-2.3834,-1.6669,-1.1496,-0.1771,-1.0068,-1.8188,-0.1107,-1.0459,-0.0033,-0.3978,0.176,-0.1524,-0.872,-2.3972,-0.1229,-0.367,-1.4433,-1.6509,-0.0329,-1.5694,-0.1614,-1.5774,-1.7676,-2.7169,-1.2996,-1.1857,-2.3139,-1.4953,-1.906,-2.5304
38,0.1275,-2.9567,-2.7076,-0.8293,-0.5522,-0.1847,-1.7234,-1.3195,-0.3625,2.9951,-2.2095,-2.5117,-0.5797,-1.0904,-1.0132,1.1953,-1.0443,-3.4782,-1.8524,-0.913,-0.9306,0.0732,-1.1079,-2.1825,0.2897,-0.7601,0.0858,-0.0459,-0.0817,-0.2078,-0.4181,-1.755,0.0737,-0.6598,-0.584,-1.7127,0.8747,-2.0316,0.8823,-2.4807,-3.1662,-2.0998,-1.6555,-0.7712,-1.0883,0.229,-2.2124,-2.0457
39,-0.6828,-3.1793,-0.3003,-0.08,-2.3932,0.1098,-0.8978,-2.6441,0.9337,2.9143,-2.5357,-2.0039,0.2835,-0.6277,0.4449,-0.4653,1.3142,-3.2826,-0.9201,-0.0977,-0.8017,-0.1409,1.6848,-0.9352,-0.5381,-1.0227,0.3346,0.7855,0.4482,-0.3765,-0.3822,0.7737,0.6113,-0.3486,-6.1376,-2.4117,0.2881,-1.2497,-0.0302,0.21,-3.3507,-2.1873,-1.7636,-0.9122,-0.5944,-0.7351,0.417,1.239
40,-0.1725,-3.9214,-1.8014,4.5702,-2.4589,-0.3204,-0.5902,3.3828,1.1309,0.902,-2.6144,2.6312,0.3745,-0.007,-0.7649,-0.608,0.3927,-0.343,-1.6288,-0.4223,-0.6814,0.1338,1.258,-2.0929,0.2378,1.8285,0.1862,0.3465,-0.1242,-0.3429,-1.6686,-0.8937,-0.4802,-0.287,-5.1267,-1.5835,2.8906,-1.4711,1.1459,-1.9473,-4.009,-2.0487,-1.3463,1.3297,-0.7155,-1.7837,-0.4797,2.2478
41,-0.251,-2.9521,-2.6823,-0.3007,-2.767,-0.1384,-0.8188,1.3821,0.0914,0.4589,-3.0758,0.1573,0.2944,0.1802,0.8251,-0.6645,0.873,-2.3252,-3.1677,0.8265,-1.0023,-0.1568,1.0998,-1.3619,0.5452,-0.1938,0.0776,0.4189,0.1906,-0.2774,-1.4312,-7.8266,0.3533,-0.4158,-1.686,-2.1032,3.7864,-1.557,-0.4037,-0.9844,-2.2482,-2.6419,-1.9314,-0.906,-0.7795,1.0406,1.0986,-1.1646
42,-0.735,-2.8279,-4.3924,-0.4644,-0.9081,-0.1961,-1.7579,-0.9797,-0.3336,0.5318,-2.332,0.0564,-0.643,-0.3151,0.2687,-1.1277,0.2447,-3.3129,-1.9508,-0.5194,-0.1201,-0.6653,1.4343,-2.1005,0.0452,-1.6665,0.1919,0.3995,0.165,0.3486,-0.6349,-0.9811,0.0879,-0.2084,-1.3192,-2.5373,-0.3775,2.9099,-0.7189,-1.718,-4.8681,-2.944,-1.9304,-0.9981,-0.3355,-1.386,-0.7865,-2.3599
43,-0.6568,-2.9424,-0.7423,-0.5068,-2.2356,-0.2732,-2.0816,-1.1508,-0.6079,-1.17,-2.8265,1.3091,2.0756,-1.8937,1.0816,-0.7188,4.0627,-3.0148,-1.8716,-1.1044,0.3515,-0.0062,0.4044,-2.6569,0.2975,3.2841,0.1449,0.124,-0.3695,-0.4684,-0.9027,-2.4388,-0.3841,-0.8118,-0.3659,-2.9041,-1.5207,0.3621,-0.2535,-2.2069,-3.9146,-2.8228,-1.606,-0.4464,-0.5911,-0.4053,0.4726,0.6887
