,P07585,P52823,Q9P0M4,Q9UGM5,Q9Y653,Class Label
130,-2.0153,-0.7564,-1.5801,-1.0265,-2.4524,0
131,-2.4304,-1.2611,-2.0675,-3.6952,-1.8188,0
132,-1.7876,-0.9416,-0.8471,-2.4906,-2.1033,0
133,-2.5337,-0.7125,-0.5944,-2.0072,-2.7871,0
134,-0.5874,-0.1712,-0.0148,-2.4998,-1.5997,0
135,-2.5751,-1.5003,-1.8398,-1.825,-1.9098,0
136,-0.3091,0.3492,-0.2111,-2.331,-1.9713,0
137,-1.7715,-0.6509,-2.3952,-2.4443,-1.5628,0
138,-2.3147,-0.4239,-0.5944,-2.2128,-1.9828,0
139,-1.5712,1.3575,-0.5187,-3.4523,-0.9276,0
140,-1.3509,-0.0131,-1.2544,-3.1337,0.2433,0
141,-2.516,-0.0099,-1.8653,-2.2764,1.2048,0
142,-1.9925,-1.7851,-0.1981,-1.6014,-0.541,0
143,-1.6613,0.0314,-1.3207,-1.6269,0.6908,0
144,-2.3295,-0.255,-1.527,-1.086,-3.0034,0
145,-2.6326,-1.9478,-1.5402,-1.1641,-2.1812,0
146,-1.4787,-1.6679,-0.485,-1.7693,-2.2439,0
147,0.0695,1.318,-0.2762,-2.38,-0.7827,0
148,-2.3699,-1.1522,-1.4462,-2.5517,-2.2104,0
149,-1.8577,0.3641,0.2532,-1.8215,-1.7909,0
150,-1.9532,-0.3514,-0.9118,-2.5135,-1.2681,0
151,-0.669,0.7223,-0.811,-1.0232,-1.3793,0
152,-1.092,-1.5576,-0.1813,-3.5053,0.3543,0
153,-2.0517,-0.267,-0.6135,-1.6977,-2.0356,0
154,-1.5094,0.0193,1.0575,-1.582,-1.5471,0
155,-0.9394,-0.1852,2.0231,-3.7345,-0.4382,0
156,-1.7521,-0.9663,0.5012,-1.9005,-2.6875,0
157,-1.8609,-1.454,-1.6742,-1.8801,-2.5658,0
158,-2.3166,-0.11,-1.7238,-1.8587,-1.5178,0
159,-2.099,-1.4457,-0.7574,-1.6879,-2.0995,0
160,-1.8572,-1.3317,-1.0539,-1.3729,-0.5812,0
161,-1.1228,0.219,-1.4037,-2.6577,-1.0736,0
162,-2.3092,-0.2436,-1.1485,-2.6719,-1.1277,0
163,-1.4238,0.2762,-0.88,-1.4371,-1.2768,0
164,-0.8507,0.7929,3.2687,-3.3786,-1.0221,0
165,-2.3141,-0.4878,-0.9218,-1.948,-0.1332,0
166,-2.7922,-0.7631,0.1259,-2.3538,-2.8915,0
167,-1.4352,-0.3454,-0.952,-1.0631,-1.6403,0
168,-0.1576,0.4995,-0.2108,-1.2778,-1.3377,0
169,-1.7088,-1.9503,-0.1954,-4.6236,-1.6234,0
170,-2.0838,-0.5933,-1.4475,-2.3757,-2.1736,0
171,-1.9283,-1.5028,0.4157,-2.0036,-2.136,0
172,-1.1189,-1.2046,0.5215,-2.2536,-0.5386,0
173,-1.6933,-1.148,-1.303,-2.2026,-1.9681,0
174,-2.0422,-2.1511,-0.9682,-0.3144,-2.2727,0
175,-2.6541,-0.9016,-2.3872,-1.6075,-2.3874,0
176,-1.9012,-1.1411,-1.5061,-2.4187,-1.4977,0
177,-1.8917,-0.405,-1.3533,-1.2656,-1.8507,0
178,-1.5273,0.3342,0.9099,-1.9316,-0.8346,0
179,-2.6815,-0.9135,-1.5784,-2.9797,-2.6046,0
180,-1.8269,-1.0748,-0.8715,-1.3294,-2.4204,0
181,-2.162,-0.5575,-1.7198,-3.5831,-1.7619,0
182,-1.4998,-0.3619,-2.1263,-1.6024,-1.4687,0
183,-2.689,-0.268,-0.8919,-1.8419,-2.0024,0
184,-0.981,-1.4513,-1.7224,-1.928,-2.5932,0
185,-1.9764,1.4992,0.9227,-3.3407,0.2318,0
186,0.3794,2.4421,2.8034,-2.5192,-1.1193,0
187,-1.161,-0.3654,-1.1919,-1.1372,-2.1545,0
188,-0.61,1.3189,-0.2053,-3.0868,0.0054,0
189,-2.0074,-1.3178,-1.961,-1.5045,-2.1215,0
190,-1.6852,-0.4685,0.0944,-1.3834,-1.9788,0
191,-1.9847,-0.5552,-2.3472,-1.5485,-1.1604,0
192,-2.5552,-1.2434,-0.4336,-2.1395,-2.2373,0
193,-0.9791,-0.1226,-0.1493,-1.5385,-1.0166,0
194,-2.1885,-0.061,0.0749,-0.4244,-1.5974,0
195,-0.7779,-0.4417,1.0072,-2.6796,-0.0822,0
196,-2.2819,-1.4646,-0.7116,-2.2536,-1.3129,0
197,-1.7354,-0.3718,-0.6987,-2.7349,-1.8599,0
