,P07585,Q9P0M4,Q9UGM5,Q9Y653
242,-1.3589,-0.8709,-2.4815,1.5284
243,-2.039,-2.0206,-3.099,-1.28
244,-0.8861,-1.6124,-3.0397,-1.2362
245,-1.1561,-0.4176,-1.2742,-1.3727
246,-1.567,0.9284,-2.1163,-1.4503
247,-2.6332,-0.0481,-3.1223,-1.4376
248,-2.0581,-0.7045,-3.1597,-0.9607
249,-0.9147,-0.4167,-1.8436,0.7917
250,-2.2792,0.2613,-1.1929,-2.683
251,-2.0816,-1.8177,-3.2184,-0.9196
252,-1.4421,-0.7994,-1.6698,-0.8382
253,-1.9859,-0.1961,-2.1951,-1.3867
254,-1.7059,-1.8355,-3.1318,-0.3358
255,-1.006,-0.522,-2.2702,-0.8892
256,-1.144,0.6449,-3.1559,-1.4814
257,1.4063,0.9179,-3.7555,0.3014
258,-1.5039,-1.1212,-1.2501,-1.6773
259,-0.2906,-0.3957,-2.8872,-0.0211
260,-0.7283,-1.6236,-2.6147,-1.6413
261,-2.5549,-1.3773,-1.3006,-2.59
262,-2.5791,-0.7971,-0.3269,-2.5395
263,-1.4613,-0.4166,-2.3477,-1.2562
264,-1.2353,-0.9749,-1.7089,-0.9806
265,-2.2763,-0.9649,-2.5391,-1.8882
266,-2.0107,-0.6773,-2.5097,-2.182
267,-1.3693,-1.8825,-1.3883,-1.8288
268,-1.7936,-1.0684,-2.2914,-2.1164
269,-0.0057,-1.0475,-1.743,-1.6649
270,-1.169,-1.2686,-2.2114,-1.0788
271,-1.3396,5.2428,-3.015,0.641
272,-2.574,-0.9808,-0.5783,-2.9659
273,-2.0258,-1.2762,-2.6675,-2.042
274,-1.2329,1.027,-2.1569,-0.623
275,-1.9165,-1.8045,-2.2606,-1.2257
276,-1.5952,-1.9705,-1.4744,0.2556
277,-1.7317,-0.9486,-0.8066,-1.9615
278,-2.3186,-1.1831,-1.673,-1.8903
279,-1.5423,-0.7536,-2.4066,-1.5284
280,-1.8901,-2.2363,-0.7416,-1.0064
281,-1.0279,-1.3892,-1.7983,0.9456
282,1.0033,-0.9124,-1.5752,1.9186
283,-1.7306,1.6805,-2.5444,-0.7999
284,-2.3781,-1.8455,-2.1839,-1.6067
285,-2.1795,-1.8469,-2.8137,-1.7769
286,-1.6297,-1.2494,-3.5413,0.0735
287,-1.9653,-0.7069,-1.5953,-1.4617
288,-2.4097,-1.5811,-0.8282,-1.9708
289,-2.0246,-1.152,-1.7286,-2.5807
290,-1.6006,-2.0257,-4.0671,-1.3954
291,-1.9713,-0.96,-1.5669,-1.7137
292,-1.5704,0.77,-2.5073,-2.2534
293,-2.2105,-1.7072,-1.8336,-1.9853
294,-2.2615,-2.1149,-1.2508,-2.2718
295,-0.9263,1.4212,-2.5861,-0.2377
296,-0.4382,-1.2606,-1.9931,-1.2168
297,-1.9182,-0.095,-2.2108,-2.0489
298,-2.253,-0.7367,-1.819,-2.3928
299,-1.8455,-0.6777,-1.4664,-0.1327
300,-1.6698,-1.728,-1.9645,-1.3289
301,-1.7183,-1.293,-2.3505,-1.5457
302,-1.3357,1.0042,-2.0505,0.7337
303,-0.2333,4.271,-5.157,-1.1411
304,-0.3897,1.0018,-2.2462,1.2965
305,-1.8491,-0.7777,-2.3959,0.1129
306,-2.0934,-0.3823,-2.9718,0.1339
307,0.4121,0.8902,-3.7308,-1.0914
308,-1.328,0.8112,-4.0363,-0.4369
309,0.0911,2.0805,-4.1356,0.6329
310,0.8285,2.8119,-4.9678,0.0035
311,-0.9168,-0.834,-3.0488,-0.241
312,-1.4345,3.6428,-2.8282,0.4174
313,-0.6767,2.9789,-3.7893,0.1196
314,-1.3301,-1.8018,-2.8445,-0.6587
315,0.2764,1.7462,-1.6279,0.1842
316,0.751,-0.161,-2.5834,2.7754
317,-1.154,0.9467,-4.122,0.2672
318,-1.9434,-1.2963,-3.6265,0.1722
319,-1.7186,-1.032,-1.2001,-0.0193
320,-0.2639,2.9356,-2.5574,1.1661
321,-0.2643,-1.472,-3.5301,-0.0923
322,0.2798,0.6027,-2.2869,-0.6469
323,-2.1492,-0.9271,-3.6548,0.5213
324,-0.8433,1.324,-5.0231,-1.0597
325,-0.0499,0.8627,-2.8858,0.4132
326,-1.8284,0.7799,-2.522,-1.0091
327,0.1748,3.7128,-2.2226,0.1431
328,0.0934,2.2019,-2.2896,-0.7045
329,-0.5505,0.4751,-2.4632,-0.0404
330,0.3543,1.7791,-2.0018,1.4798
331,0.384,0.4361,-2.7944,0.6061
332,-2.4301,-1.9502,-1.9722,0.6181
333,0.6448,1.7063,-4.1992,-0.5389
334,-1.1097,-1.4101,-1.3051,-0.6206
335,-1.2406,-1.2618,-2.0838,0.2267
336,-0.3377,0.0351,-2.7695,0.7177
337,0.839,3.31,-3.3561,1.0332
338,-0.7789,0.3844,-3.2582,1.2588
339,0.0824,1.1664,-2.9712,1.8874
340,-1.6721,-0.7645,-2.7253,-2.4301
341,-0.5414,0.584,-2.443,1.2652
342,-0.6373,-0.0589,-3.0489,-0.6997
343,0.3649,1.0035,-2.2663,-0.7984
