,O15232,O60635,P00750,P07585,P08727,P08833,P14136,P16234,P18627,P19429,P52823,P55259,Q9P0M4,Q9Y653
42,-1.1172,-0.4644,-1.3323,-1.878,-0.8912,0.0564,-0.3151,-1.816,-1.1773,-3.3129,-0.541,-1.6665,-0.3355,-2.3599
43,-0.9617,-0.5068,-1.0528,-2.1022,-0.4527,1.3091,-1.8937,-1.1331,-0.8317,-3.0148,-0.9577,3.2841,-0.5911,0.6887
44,-0.0322,-0.3404,-2.653,-2.1164,1.7506,-2.2801,-1.4149,-1.8524,-1.4618,-2.672,-0.731,0.9123,-1.9261,-0.7227
45,-0.8944,-0.3993,-1.016,-1.9789,-1.2995,-3.3232,-0.3656,-2.0191,0.9316,-3.3833,-0.4975,-0.9035,-2.1152,-1.7442
46,-0.3413,-0.8547,-1.0474,-2.2829,1.0837,-1.7548,-1.6338,-1.6141,-0.159,-2.8013,-1.5182,-1.6465,-0.1163,-2.1267
47,-0.0466,-0.4684,-1.2442,-2.0479,1.6422,-0.8914,-1.3531,-1.5771,-1.0736,-2.1427,-0.6145,-0.3812,-1.2834,-2.9592
48,-1.9945,-0.4078,-2.1474,-1.5568,-0.2459,1.7303,0.1014,-1.847,-0.8372,-3.1365,-0.3974,-1.3327,0.6121,-1.479
49,-0.289,-0.3992,0.5246,-1.7423,1.6058,-0.0748,-0.476,-1.3697,0.2326,-3.5195,-0.674,0.2046,-1.16,-1.4837
50,-0.324,-0.3396,-1.5501,-1.286,-1.0757,-0.3932,-0.2996,-1.2928,-1.0363,-1.9345,0.3826,-0.9311,-1.0105,-0.1552
51,0.0824,-0.5603,-1.044,-2.1074,-0.1823,-1.1469,0.3076,-1.3315,-0.4074,-2.9966,-0.7021,0.9874,-2.2708,-2.0301
52,-1.9059,-0.8687,-3.3829,-2.5379,-1.1945,-0.5721,-1.2921,-1.7777,-2.4839,-4.0167,-1.816,-1.1827,-1.6901,-2.5655
53,-0.7468,-0.4333,-1.9091,-2.6332,-0.0651,-2.8834,-1.2179,-1.4112,-0.3196,-2.4258,-0.4169,-1.9592,-0.6921,-1.9468
54,0.627,-0.6557,0.9179,-1.2633,2.0131,0.237,-1.362,-1.3242,0.4798,-2.9232,-0.0883,-1.6505,-1.114,-0.226
55,-0.4672,-0.564,-0.9468,-2.4329,1.8139,-0.3768,-2.7838,-1.5166,-1.0512,-1.6874,0.3499,-1.927,-2.0408,-2.0838
56,-0.2941,-0.1772,-1.4655,-0.6498,-0.7752,0.0675,-0.4179,-0.9113,0.0161,-2.7002,-0.7558,-1.5545,-1.7687,-0.858
57,-0.7026,0.4,0.4682,-0.2032,0.7035,1.675,0.0387,0.737,0.5736,-2.5782,0.0552,0.7749,-0.9122,2.2999
58,-1.9399,-0.2928,-1.0387,-2.0416,1.986,-3.3921,-1.8472,-1.7452,-0.2909,-1.5645,0.2167,-1.6006,-1.6394,-2.4561
59,-0.0273,1.8752,0.0919,-1.4352,2.156,1.0439,0.1802,-0.3345,1.1504,-2.9974,-0.9835,1.675,-1.3007,0.8109
60,-0.7601,-0.2113,0.1088,-1.4506,5.5691,2.7252,-0.1005,-1.1556,-0.9113,1.0424,2.7774,1.1285,2.9217,-1.7414
61,3.3361,-0.4791,1.6075,0.3713,0.3347,3.2163,-0.3137,0.7303,-0.2298,3.5251,3.9282,2.351,0.7957,1.3266
62,-1.8213,-0.6029,-1.7686,-2.5472,-1.6798,-4.3444,-1.7203,-1.6033,-0.2018,-3.0012,-1.1544,-2.6218,-2.1539,-2.8154
63,-0.6973,-0.4076,-2.3917,-1.6951,-2.0351,0.8977,-1.3854,-1.3276,-0.2875,-3.2176,-0.4205,-2.2016,-1.2131,-2.605
64,-0.4496,-0.5948,-1.6209,-0.6268,-0.2586,1.8729,0.0781,-0.2325,-0.1434,-3.0562,-0.7384,-0.4059,0.3532,-1.104
