,O15232,O60635,P00750,P08727,P08833,P14136,P16234,P18627,P19429,P21246,P52823,P55259,Q8IU54,Q96JP9,Q9P0M4,Q9Y653,Class Label
42,-1.1172,-0.4644,-1.3323,-0.8912,0.0564,-0.3151,-1.816,-1.1773,-3.3129,-0.5194,-0.541,-1.6665,-0.3775,-1.9304,-0.3355,-2.3599,0
43,-0.9617,-0.5068,-1.0528,-0.4527,1.3091,-1.8937,-1.1331,-0.8317,-3.0148,-1.1044,-0.9577,3.2841,-1.5207,-1.606,-0.5911,0.6887,0
44,-0.0322,-0.3404,-2.653,1.7506,-2.2801,-1.4149,-1.8524,-1.4618,-2.672,-1.5983,-0.731,0.9123,1.5945,-1.8182,-1.9261,-0.7227,0
45,-0.8944,-0.3993,-1.016,-1.2995,-3.3232,-0.3656,-2.0191,0.9316,-3.3833,-1.2628,-0.4975,-0.9035,2.1587,-1.7818,-2.1152,-1.7442,0
46,-0.3413,-0.8547,-1.0474,1.0837,-1.7548,-1.6338,-1.6141,-0.159,-2.8013,-1.1312,-1.5182,-1.6465,1.6822,-1.2934,-0.1163,-2.1267,0
47,-0.0466,-0.4684,-1.2442,1.6422,-0.8914,-1.3531,-1.5771,-1.0736,-2.1427,-0.264,-0.6145,-0.3812,-0.6895,-1.386,-1.2834,-2.9592,0
48,-1.9945,-0.4078,-2.1474,-0.2459,1.7303,0.1014,-1.847,-0.8372,-3.1365,-0.0768,-0.3974,-1.3327,0.2135,-1.7335,0.6121,-1.479,0
49,-0.289,-0.3992,0.5246,1.6058,-0.0748,-0.476,-1.3697,0.2326,-3.5195,-0.7244,-0.674,0.2046,2.1712,-1.8261,-1.16,-1.4837,0
50,-0.324,-0.3396,-1.5501,-1.0757,-0.3932,-0.2996,-1.2928,-1.0363,-1.9345,0.0009,0.3826,-0.9311,-0.0545,-2.2291,-1.0105,-0.1552,0
51,0.0824,-0.5603,-1.044,-0.1823,-1.1469,0.3076,-1.3315,-0.4074,-2.9966,-0.6819,-0.7021,0.9874,0.1939,-1.6516,-2.2708,-2.0301,0
52,-1.9059,-0.8687,-3.3829,-1.1945,-0.5721,-1.2921,-1.7777,-2.4839,-4.0167,-1.2345,-1.816,-1.1827,-0.6844,-1.9782,-1.6901,-2.5655,0
53,-0.7468,-0.4333,-1.9091,-0.0651,-2.8834,-1.2179,-1.4112,-0.3196,-2.4258,-1.8732,-0.4169,-1.9592,1.12,-1.6996,-0.6921,-1.9468,0
54,0.627,-0.6557,0.9179,2.0131,0.237,-1.362,-1.3242,0.4798,-2.9232,2.5014,-0.0883,-1.6505,3.742,-1.49,-1.114,-0.226,0
55,-0.4672,-0.564,-0.9468,1.8139,-0.3768,-2.7838,-1.5166,-1.0512,-1.6874,-1.3482,0.3499,-1.927,1.8805,-2.0316,-2.0408,-2.0838,0
56,-0.2941,-0.1772,-1.4655,-0.7752,0.0675,-0.4179,-0.9113,0.0161,-2.7002,-0.3395,-0.7558,-1.5545,3.0855,-1.6621,-1.7687,-0.858,0
