P07478,Q9P0K1,Q9P0K1,Q9Y639
-0.9261,-3.1305,-3.1305,-1.3861
0.5135,-0.576,-0.576,-0.033
-1.2451,-4.5383,-4.5383,-1.4741
-1.5642,-3.2824,-3.2824,-1.5061
-0.8065,-3.0145,-3.0145,0.7395
-0.9623,-2.9314,-2.9314,-0.7604
-1.6582,-3.883,-3.883,-1.4462
-0.0039,-2.3283,-2.3283,-1.097
-2.1165,-3.4345,-3.4345,-0.888
1.2772,-1.5921,-1.5921,-1.5169
0.5022,-2.3221,-2.3221,-0.8791
-1.2666,-2.4284,-2.4284,-1.2182
0.261,-0.7978,-0.7978,0.1144
-1.155,-3.4763,-3.4763,-1.2705
3.2755,0.524,0.524,-0.1602
-0.1842,-2.7033,-2.7033,-1.0266
-1.8382,-0.9829,-0.9829,-0.4849
1.338,-2.0666,-2.0666,-0.6425
-0.4634,-3.2271,-3.2271,1.8664
2.3796,-0.7057,-0.7057,-0.1361
-1.9766,-3.1361,-3.1361,-1.2365
0.002,-3.3939,-3.3939,-0.8508
-1.1354,-3.0544,-3.0544,-1.1761
0.2231,-3.426,-3.426,-0.4503
1.9029,-1.7091,-1.7091,4.5919
-2.6215,-2.6918,-2.6918,-0.9159
-0.5046,-3.1461,-3.1461,-0.6554
-0.7012,-3.6887,-3.6887,-0.9003
-2.0891,-3.3874,-3.3874,-2.0656
-0.7788,-2.646,-2.646,0.0854
-0.1401,-2.3088,-2.3088,-0.6318
-0.032,-4.3578,-4.3578,-1.3473
-1.3733,-3.5782,-3.5782,-2.1378
-0.4533,-2.5124,-2.5124,-1.043
-0.8564,-2.0921,-2.0921,-2.2364
-2.218,-3.6168,-3.6168,-1.1129
-1.1436,-3.034,-3.034,0.7455
-0.0044,-3.4808,-3.4808,-0.6787
-1.6534,-3.5576,-3.5576,-0.9596
-0.5171,-2.8033,-2.8033,0.0005
-0.0945,-3.5948,-3.5948,-0.3514
1.317,-2.3011,-2.3011,3.9201
-1.1138,-3.6137,-3.6137,2.6178
0.8545,-1.9943,-1.9943,-1.0111
-0.4997,-2.9777,-2.9777,-0.0525
1.003,-0.18,-0.18,-1.3225
-1.5375,-3.3214,-3.3214,-0.3632
-0.1286,-2.2394,-2.2394,-1.14
0.0331,-2.3403,-2.3403,-0.2519
-2.0055,-3.3669,-3.3669,-1.1543
-1.9301,-3.0685,-3.0685,-0.8171
1.0254,-2.2219,-2.2219,-1.1628
1.2893,-2.9455,-2.9455,0.2894
-0.8136,-3.3451,-3.3451,-1.0408
