,P07585,P16234,P52823,Q9P0M4,Q9Y653,Class Label
219,-1.6065,-1.2119,-1.6213,-0.5984,-0.4295,0
220,-2.4236,-1.9784,-0.5163,-2.973,-1.725,0
221,-1.1345,-1.4573,-0.6588,-0.5366,0.014,0
222,0.2205,-0.5424,1.8225,0.6575,-0.0208,0
223,-1.6871,-1.5945,-1.2969,-0.7019,0.266,0
224,-0.261,-0.2502,0.2181,0.6627,0.6285,0
225,-1.787,-1.4042,-0.207,-1.6607,-1.7473,0
226,0.8885,-0.3053,1.85,2.1852,-0.3393,0
227,-0.9695,-1.2999,-0.9173,0.5495,-0.6117,0
228,-1.5764,-1.6659,0.015,-1.9041,-0.3792,0
229,-1.2014,-1.7378,4.8475,2.0649,-1.3295,0
230,-1.3667,-1.0936,0.1138,-0.9737,0.3587,0
231,-1.7004,-1.255,-1.2688,-0.9284,-0.9199,0
232,-2.275,-1.8692,0.0791,-1.5299,-1.5679,0
233,-0.8034,-1.2705,-0.1659,-1.9186,-1.9356,0
234,-1.6928,-2.1785,-1.5571,-0.909,-2.3302,0
235,-1.3366,-1.2426,-1.2983,-1.5282,-1.4815,0
236,0.3118,-0.0933,2.725,0.452,-0.666,0
237,-2.3467,-1.9159,-0.2255,-2.1372,-1.3697,0
238,-1.7507,-0.9587,-1.1252,-0.095,-0.0376,0
239,-1.7746,-1.6386,-0.1943,-0.2284,-2.1102,0
240,-1.7643,-1.9488,-0.6939,-0.6727,-2.4452,0
241,-1.8898,-1.5345,-0.3747,0.1474,-2.4727,0
242,-1.3589,0.0619,1.1762,-0.8709,1.5284,0
243,-2.039,-1.6566,-0.5926,-2.0206,-1.28,0
244,-0.8861,-1.0235,1.1418,-1.6124,-1.2362,0
245,-1.1561,-1.1731,-0.3912,-0.4176,-1.3727,0
246,-1.567,-1.1233,0.2014,0.9284,-1.4503,0
247,-2.6332,-1.573,-0.8741,-0.0481,-1.4376,0
248,-2.0581,-1.2259,-0.322,-0.7045,-0.9607,0
249,-0.9147,-1.0468,3.0223,-0.4167,0.7917,0
250,-2.2792,-1.8621,-1.595,0.2613,-2.683,0
251,-2.0816,-2.1643,-1.3351,-1.8177,-0.9196,0
252,-1.4421,-1.9117,-1.146,-0.7994,-0.8382,0
253,-1.9859,-1.281,0.7578,-0.1961,-1.3867,0
254,-1.7059,-0.4133,-0.4037,-1.8355,-0.3358,0
255,-1.006,-0.0177,-0.292,-0.522,-0.8892,0
256,-1.144,-1.8358,0.9662,0.6449,-1.4814,0
257,1.4063,0.2823,2.6497,0.9179,0.3014,0
258,-1.5039,-2.0648,-0.2982,-1.1212,-1.6773,0
259,-0.2906,-1.2421,0.5266,-0.3957,-0.0211,0
260,-0.7283,-0.2906,-0.2943,-1.6236,-1.6413,0
261,-2.5549,-1.8042,-1.1821,-1.3773,-2.59,0
262,-2.5791,-2.1215,-2.4139,-0.7971,-2.5395,0
