Q9Y653,Q9P0M4,P07585,P16234,P52823,P14136,P08833,P55259,O60635,P19429,Class Label
-1.082,0.7208,-0.8618,-1.4823,1.4576,0.1782,2.4494,-1.3252,-0.2011,-0.4383,0
-1.9367,-1.0618,-2.9414,-1.6583,-1.804,-0.9811,3.1664,-1.8266,-0.6987,-3.2452,0
-2.9843,-2.4447,-2.8723,-2.3055,-1.7127,-1.3178,-2.7802,-1.9069,-0.261,-3.0285,0
-1.2682,-1.7065,-1.837,-1.4412,0.6774,-0.2221,-0.7348,1.1963,-0.4026,-2.8198,0
-1.8654,-1.8553,-1.9253,-1.968,-1.7967,-0.8188,-2.0668,0.9908,-0.3949,-2.9055,0
-2.1145,0.5255,-2.63,-1.9325,1.0365,-1.5418,1.0539,-1.9931,-0.802,-3.1298,0
-0.8081,-0.7978,-0.8138,-0.9265,3.4017,0.1983,2.8758,-1.0554,-0.0731,-2.6624,0
-2.3782,-0.7296,-1.6267,-1.9851,-0.7445,-1.3529,-2.5039,-1.1114,-0.2905,-2.745,0
-0.3071,-2.9989,-2.3106,-1.643,0.7478,-2.0707,0.7084,-0.5601,-0.452,-2.8607,0
-2.9649,-0.4172,-2.2741,-1.7091,-0.2564,-1.357,-4.8377,-2.6035,-0.631,-2.8331,0
-1.3614,-1.2921,-1.1197,-1.5566,1.3,-0.696,0.9943,0.2997,0.5063,-1.5293,0
-1.2085,-1.3394,-1.4918,-1.0912,0.17,0.7344,0.1493,-0.9222,-0.6531,-3.4854,0
-1.8712,-1.658,-2.5238,-1.8255,-1.0352,-1.293,-3.6931,-1.0638,-0.6037,-4.0857,0
-2.5156,-1.2323,-2.846,-2.2332,-1.4025,-2.0069,-4.0849,-2.8065,-0.6718,-2.9739,0
-2.8773,-2.0573,-2.1265,-1.7717,-1.1631,-1.391,-2.869,-2.7558,-0.3344,-3.3808,0
-2.5561,-1.8112,-2.4381,-1.728,-0.9513,-1.5292,-3.1279,-1.8022,-0.4279,-3.2048,0
0.6602,1.7847,-1.4608,-0.6306,-1.3903,0.8782,0.2444,-1.1547,-0.7475,-2.3509,0
-0.808,-0.6618,-1.5597,-1.2779,-1.1692,-0.7694,-1.5256,0.253,-0.5718,-2.6211,0
-0.4982,-1.4687,-1.8778,-2.2777,-0.4291,-1.2764,-2.7641,-0.6705,-0.6773,-3.1788,0
-2.4524,-1.5801,-2.0153,-2.0507,-0.7564,-1.3452,-5.0606,-2.2929,-0.3009,-2.1159,0
-1.8188,-2.0675,-2.4304,-1.6418,-1.2611,-1.4335,-2.9568,-0.0561,-0.4223,-2.6711,0
-2.1033,-0.8471,-1.7876,-1.2279,-0.9416,-1.0982,-0.1787,-0.1522,1.3777,-2.0856,0
-2.7871,-0.5944,-2.5337,-1.8184,-0.7125,-0.2939,-2.5132,-1.0321,-0.638,-2.9284,0
-1.5997,-0.0148,-0.5874,-0.947,-0.1712,-0.5056,-1.1896,2.7287,-0.5973,-2.2633,0
-1.9098,-1.8398,-2.5751,-1.5178,-1.5003,-1.4407,-4.5541,-1.679,-0.6634,-2.7803,0
-1.9713,-0.2111,-0.3091,-0.7692,0.3492,-1.0969,2.2402,-0.7866,-0.7351,0.3258,0
-1.5628,-2.3952,-1.7715,-1.5772,-0.6509,-0.8962,1.9162,-0.6957,-0.3111,-3.3687,0
-1.9828,-0.5944,-2.3147,-1.6388,-0.4239,-0.8531,-2.0555,-1.1048,1.5248,-3.0353,0
-0.9276,-0.5187,-1.5712,-0.1482,1.3575,-0.2042,3.1635,-1.3526,-0.304,-3.5672,0
0.2433,-1.2544,-1.3509,-0.9779,-0.0131,0.7798,-2.3791,-0.1863,-0.4917,-3.7632,0
1.2048,-1.8653,-2.516,-1.4867,-0.0099,-1.1215,-2.925,-1.3883,-0.2129,-3.5394,0
-0.541,-0.1981,-1.9925,-1.7895,-1.7851,0.6721,-2.949,-1.2154,-0.3534,-2.8801,0
0.6908,-1.3207,-1.6613,-2.1829,0.0314,-0.524,-1.2609,0.8253,0.2477,-1.584,0
-3.0034,-1.527,-2.3295,-1.7645,-0.255,-0.8711,-1.5511,-1.9239,-0.5834,-3.8744,0
-2.1812,-1.5402,-2.6326,-2.0502,-1.9478,-1.1365,-2.8781,-1.2022,-0.6163,-3.705,0
-2.2439,-0.485,-1.4787,-1.3265,-1.6679,-1.0099,-0.8268,-1.7131,-0.706,-3.2975,0
-0.7827,-0.2762,0.0695,-0.9191,1.318,-0.7136,-2.6994,-0.255,-0.5258,-2.3054,0
-2.2104,-1.4462,-2.3699,-1.7025,-1.1522,-0.9485,0.4818,-1.2127,-0.6119,-2.5211,0
-1.7909,0.2532,-1.8577,-0.3905,0.3641,-0.1991,0.3284,0.3071,0.0756,-2.244,0
-1.2681,-0.9118,-1.9532,-1.1953,-0.3514,-0.8932,-0.1761,-1.7206,-0.5267,-3.5905,0
-1.3793,-0.811,-0.669,-1.229,0.7223,-0.1636,-1.145,-0.5405,-0.3981,-2.5381,0
0.3543,-0.1813,-1.092,-1.1483,-1.5576,0.2961,-0.7923,2.8949,0.0085,-2.1605,0
-2.0356,-0.6135,-2.0517,-1.2772,-0.267,-0.9177,-1.4987,-0.9403,-0.398,-2.4758,0
-1.5471,1.0575,-1.5094,-1.471,0.0193,-0.3972,-2.0632,-0.7237,0.5269,-1.7544,0
-0.4382,2.0231,-0.9394,-1.0335,-0.1852,0.0868,0.5774,0.2838,-0.1259,-2.1205,0
-2.6875,0.5012,-1.7521,-1.9715,-0.9663,-1.6469,-3.3421,0.4979,-0.7038,-3.2802,0
